CODE,TYPE,NAME
BCH,COMMODITY,Bitcoin Cash
BCO,COMMODITY,Brent Crude Oil
BTC,COMMODITY,Bitcoin
CORN,COMMODITY,Corn
ETH,COMMODITY,Ethereum
LTC,COMMODITY,Litecoin
MBTC,COMMODITY,Millibitcoin
NATGAS,COMMODITY,Natural Gas
SOYBN,COMMODITY,Soybeans
SUGAR,COMMODITY,Sugar
WHEAT,COMMODITY,Wheat
WTICO,COMMODITY,West Texal Oil
XAG,COMMODITY,Silver
XAU,COMMODITY,Gold
XCU,COMMODITY,Copper
XPD,COMMODITY,Palladium
XPT,COMMODITY,Platinum
AUD,CURRENCY,Australian Dollar
CAD,CURRENCY,Canadian Dollar
CHF,CURRENCY,Swiss Franc
CNH,CURRENCY,Chinese Yuan Renminbi (offshore)
CZK,CURRENCY,Czech Koruna
DKK,CURRENCY,Danish Krone
EUR,CURRENCY,Euro
GBP,CURRENCY,Great British Pound
HKD,CURRENCY,Hong Kong Dollar
HUF,CURRENCY,Hungarian Forint
JPY,CURRENCY,Japanese Yen
MXN,CURRENCY,Mexican Peso
NOK,CURRENCY,Norwegian Kroner
NZD,CURRENCY,New Zealand Dollar
PLN,CURRENCY,Polish Zloty
SEK,CURRENCY,Swedish Krona
SGD,CURRENCY,Singapore Dollar
THB,CURRENCY,Thai Baht
TRY,CURRENCY,Turkish Lira
USD,CURRENCY,US Dollar
ZAR,CURRENCY,South African Rand
AU200,INDEX,Australia 200
CH20,INDEX,Switzerland 20
CHINAH,INDEX,Hong Kong China H-Shares
CN50,INDEX,China A50
DE10YB,INDEX,The Germany 10 Year Bund Government Bond
DE30,INDEX,Germany 30
ESPIX,INDEX,Spain 35
EU50,INDEX,Europe 50
FR40,INDEX,French 40
HK33,INDEX,Hong Kong 33
JP225,INDEX,Japan 225
JP225Y,INDEX,Japan 225 JPY
NAS100,INDEX,NASDAQ 100 Index
NL25,INDEX,Netherland 25
SG30,INDEX,Singapore 30
SPX500,INDEX,S&P 500
UK100,INDEX,UK 100
UK10YB,INDEX,UK 10Y Gilt
US2000,INDEX,US Russ 2000
US30,INDEX,US Wall St 30
USB02Y,INDEX,US 2Y T-Note
USB05Y,INDEX,US 5Y T-Note
USB10Y,INDEX,US 10Y T-Note
USB30Y,INDEX,US T-Bond