symbol,instrument
AUD_CAD,AUD/CAD
AUD_CHF,AUD/CHF
AUD_HKD,AUD/HKD
AUD_JPY,AUD/JPY
AUD_NZD,AUD/NZD
AUD_SGD,AUD/SGD
AUD_USD,AUD/USD
AU200_AUD,Australia 200
BTC_USD,Bitcoin
BCH_USD,Bitcoin Cash
BCO_USD,Brent Crude Oil
DE10YB_EUR,Bund
CAD_CHF,CAD/CHF
CAD_HKD,CAD/HKD
CAD_JPY,CAD/JPY
CAD_SGD,CAD/SGD
CHF_HKD,CHF/HKD
CHF_JPY,CHF/JPY
CHF_ZAR,CHF/ZAR
CN50_USD,China A50
CHINAH_HKD,China H Shares
XCU_USD,Copper
CORN_USD,Corn
EUR_AUD,EUR/AUD
EUR_CAD,EUR/CAD
EUR_CHF,EUR/CHF
EUR_CZK,EUR/CZK
EUR_DKK,EUR/DKK
EUR_GBP,EUR/GBP
EUR_HKD,EUR/HKD
EUR_HUF,EUR/HUF
EUR_JPY,EUR/JPY
EUR_NOK,EUR/NOK
EUR_NZD,EUR/NZD
EUR_PLN,EUR/PLN
EUR_SEK,EUR/SEK
EUR_SGD,EUR/SGD
EUR_TRY,EUR/TRY
EUR_USD,EUR/USD
EUR_ZAR,EUR/ZAR
ETH_USD,Ether
EU50_EUR,Europe 50
FR40_EUR,France 40
GBP_AUD,GBP/AUD
GBP_CAD,GBP/CAD
GBP_CHF,GBP/CHF
GBP_HKD,GBP/HKD
GBP_JPY,GBP/JPY
GBP_NZD,GBP/NZD
GBP_PLN,GBP/PLN
GBP_SGD,GBP/SGD
GBP_USD,GBP/USD
GBP_ZAR,GBP/ZAR
DE30_EUR,Germany 30
XAU_USD,Gold
XAU_AUD,Gold/AUD
XAU_CAD,Gold/CAD
XAU_CHF,Gold/CHF
XAU_EUR,Gold/EUR
XAU_GBP,Gold/GBP
XAU_HKD,Gold/HKD
XAU_JPY,Gold/JPY
XAU_NZD,Gold/NZD
XAU_SGD,Gold/SGD
XAU_XAG,Gold/Silver
HKD_JPY,HKD/JPY
HK33_HKD,Hong Kong 33
JP225_USD,Japan 225
JP225Y_JPY,Japan 225 (JPY)
LTC_USD,Litecoin
MBTC_USD,Mini Bitcoin
NZD_CAD,NZD/CAD
NZD_CHF,NZD/CHF
NZD_HKD,NZD/HKD
NZD_JPY,NZD/JPY
NZD_SGD,NZD/SGD
NZD_USD,NZD/USD
NATGAS_USD,Natural Gas
NL25_EUR,Netherlands 25
XPD_USD,Palladium
XPT_USD,Platinum
SGD_CHF,SGD/CHF
SGD_JPY,SGD/JPY
XAG_USD,Silver
XAG_AUD,Silver/AUD
XAG_CAD,Silver/CAD
XAG_CHF,Silver/CHF
XAG_EUR,Silver/EUR
XAG_GBP,Silver/GBP
XAG_HKD,Silver/HKD
XAG_JPY,Silver/JPY
XAG_NZD,Silver/NZD
XAG_SGD,Silver/SGD
SG30_SGD,Singapore 30
SOYBN_USD,Soybeans
ESPIX_EUR,Spain 35
SUGAR_USD,Sugar
CH20_CHF,Switzerland 20
TRY_JPY,TRY/JPY
UK100_GBP,UK 100
UK10YB_GBP,UK 10Y Gilt
USB10Y_USD,US 10Y T-Note
USB02Y_USD,US 2Y T-Note
USB05Y_USD,US 5Y T-Note
NAS100_USD,US Nas 100
US2000_USD,US Russ 2000
SPX500_USD,US SPX 500
USB30Y_USD,US T-Bond
US30_USD,US Wall St 30
USD_CAD,USD/CAD
USD_CHF,USD/CHF
USD_CNH,USD/CNH
USD_CZK,USD/CZK
USD_DKK,USD/DKK
USD_HKD,USD/HKD
USD_HUF,USD/HUF
USD_JPY,USD/JPY
USD_MXN,USD/MXN
USD_NOK,USD/NOK
USD_PLN,USD/PLN
USD_SEK,USD/SEK
USD_SGD,USD/SGD
USD_THB,USD/THB
USD_TRY,USD/TRY
USD_ZAR,USD/ZAR
WTICO_USD,West Texas Oil
WHEAT_USD,Wheat
ZAR_JPY,ZAR/JPY