PROVIDER,SYMBOL_CODE,PROVIDER_CODE
OANDA,BTC_USD,BTC_USD
OANDA,BCH_USD,BCH_USD
OANDA,BCO_USD,BCO_USD
OANDA,XCU_USD,XCU_USD
OANDA,CORN_USD,CORN_USD
OANDA,LTC_USD,LTC_USD
OANDA,MBTC_USD,MBTC_USD
OANDA,NATGAS_USD,NATGAS_USD
OANDA,XPD_USD,XPD_USD
OANDA,XPT_USD,XPT_USD
OANDA,XAG_USD,XAG_USD
OANDA,XAG_AUD,XAG_AUD
OANDA,XAG_CAD,XAG_CAD
OANDA,XAG_CHF,XAG_CHF
OANDA,XAG_EUR,XAG_EUR
OANDA,XAG_GBP,XAG_GBP
OANDA,XAG_HKD,XAG_HKD
OANDA,XAG_JPY,XAG_JPY
OANDA,XAG_NZD,XAG_NZD
OANDA,XAG_SGD,XAG_SGD
OANDA,SOYBN_USD,SOYBN_USD
OANDA,WTICO_USD,WTICO_USD
OANDA,WHEAT_USD,WHEAT_USD
OANDA,SUGAR_USD,SUGAR_USD
OANDA,AUD_CAD,AUD_CAD
OANDA,AUD_CHF,AUD_CHF
OANDA,AUD_HKD,AUD_HKD
OANDA,AUD_JPY,AUD_JPY
OANDA,AUD_NZD,AUD_NZD
OANDA,AUD_SGD,AUD_SGD
OANDA,AUD_USD,AUD_USD
OANDA,CAD_CHF,CAD_CHF
OANDA,CAD_HKD,CAD_HKD
OANDA,CAD_JPY,CAD_JPY
OANDA,CAD_SGD,CAD_SGD
OANDA,CHF_HKD,CHF_HKD
OANDA,CHF_JPY,CHF_JPY
OANDA,CHF_ZAR,CHF_ZAR
OANDA,EUR_AUD,EUR_AUD
OANDA,EUR_CAD,EUR_CAD
OANDA,EUR_CHF,EUR_CHF
OANDA,EUR_CZK,EUR_CZK
OANDA,EUR_DKK,EUR_DKK
OANDA,EUR_GBP,EUR_GBP
OANDA,EUR_HKD,EUR_HKD
OANDA,EUR_HUF,EUR_HUF
OANDA,EUR_JPY,EUR_JPY
OANDA,EUR_NOK,EUR_NOK
OANDA,EUR_NZD,EUR_NZD
OANDA,EUR_PLN,EUR_PLN
OANDA,EUR_SEK,EUR_SEK
OANDA,EUR_SGD,EUR_SGD
OANDA,EUR_TRY,EUR_TRY
OANDA,EUR_USD,EUR_USD
OANDA,EUR_ZAR,EUR_ZAR
OANDA,ETH_USD,ETH_USD
OANDA,GBP_AUD,GBP_AUD
OANDA,GBP_CAD,GBP_CAD
OANDA,GBP_CHF,GBP_CHF
OANDA,GBP_HKD,GBP_HKD
OANDA,GBP_JPY,GBP_JPY
OANDA,GBP_NZD,GBP_NZD
OANDA,GBP_PLN,GBP_PLN
OANDA,GBP_SGD,GBP_SGD
OANDA,GBP_USD,GBP_USD
OANDA,GBP_ZAR,GBP_ZAR
OANDA,XAU_USD,XAU_USD
OANDA,XAU_AUD,XAU_AUD
OANDA,XAU_CAD,XAU_CAD
OANDA,XAU_CHF,XAU_CHF
OANDA,XAU_EUR,XAU_EUR
OANDA,XAU_GBP,XAU_GBP
OANDA,XAU_HKD,XAU_HKD
OANDA,XAU_JPY,XAU_JPY
OANDA,XAU_NZD,XAU_NZD
OANDA,XAU_SGD,XAU_SGD
OANDA,XAU_XAG,XAU_XAG
OANDA,HKD_JPY,HKD_JPY
OANDA,NZD_CAD,NZD_CAD
OANDA,NZD_CHF,NZD_CHF
OANDA,NZD_HKD,NZD_HKD
OANDA,NZD_JPY,NZD_JPY
OANDA,NZD_SGD,NZD_SGD
OANDA,NZD_USD,NZD_USD
OANDA,SGD_CHF,SGD_CHF
OANDA,SGD_JPY,SGD_JPY
OANDA,USD_CAD,USD_CAD
OANDA,USD_CHF,USD_CHF
OANDA,USD_CNH,USD_CNH
OANDA,USD_CZK,USD_CZK
OANDA,USD_DKK,USD_DKK
OANDA,USD_HKD,USD_HKD
OANDA,USD_HUF,USD_HUF
OANDA,USD_JPY,USD_JPY
OANDA,USD_MXN,USD_MXN
OANDA,USD_NOK,USD_NOK
OANDA,USD_PLN,USD_PLN
OANDA,USD_SEK,USD_SEK
OANDA,USD_SGD,USD_SGD
OANDA,USD_THB,USD_THB
OANDA,USD_TRY,USD_TRY
OANDA,USD_ZAR,USD_ZAR
OANDA,ZAR_JPY,ZAR_JPY
OANDA,TRY_JPY,TRY_JPY
OANDA,AU200_AUD,AU200_AUD
OANDA,DE10YB_EUR,DE10YB_EUR
OANDA,CN50_USD,CN50_USD
OANDA,CHINAH_HKD,CHINAH_HKD
OANDA,EU50_EUR,EU50_EUR
OANDA,FR40_EUR,FR40_EUR
OANDA,DE30_EUR,DE30_EUR
OANDA,HK33_HKD,HK33_HKD
OANDA,JP225_USD,JP225_USD
OANDA,JP225Y_JPY,JP225Y_JPY
OANDA,NL25_EUR,NL25_EUR
OANDA,SG30_SGD,SG30_SGD
OANDA,ESPIX_EUR,ESPIX_EUR
OANDA,CH20_CHF,CH20_CHF
OANDA,UK100_GBP,UK100_GBP
OANDA,UK10YB_GBP,UK10YB_GBP
OANDA,USB10Y_USD,USB10Y_USD
OANDA,USB02Y_USD,USB02Y_USD
OANDA,USB05Y_USD,USB05Y_USD
OANDA,NAS100_USD,NAS100_USD
OANDA,US2000_USD,US2000_USD
OANDA,SPX500_USD,SPX500_USD
OANDA,USB30Y_USD,USB30Y_USD
OANDA,US30_USD,US30_USD